# ANNCSU - Agenzia delle Entrate e ISTAT, licenza CC-BY 4.0; file indirizzarioLombardia20260915.zip, filtrato il 2026-09-25
COMUNE,ODONIMO,CIVICO,ESPONENTE,LAT,LON,METODO
BELGIOIOSO,CASCINA SPARAPINA,1,,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,A,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,B,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,C,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,D,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,E,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,1,F,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,2,,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,3,,45.160414,9.309679,4
BELGIOIOSO,CASCINA SPARAPINA,4,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,4,2,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,4,B,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,5,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,6,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,7,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,8,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,8,A,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,8,B,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,8,C,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,9,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,10,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,11,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,12,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,13,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,14,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,15,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,16,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,17,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,18,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,19,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,20,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,21,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,22,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,23,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,24,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,25,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,26,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,27,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,28,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,29,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,30,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,31,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,32,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,33,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,34,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,35,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,36,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,37,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,38,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,39,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,40,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,41,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,42,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,1,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,2,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,3,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,4,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,B,45.16204,9.307321,4
BELGIOIOSO,CASCINA SPARAPINA,43,D,45.16204,9.307321,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,1,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,2,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,2,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,2,B,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,3,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,4,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,4,A,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,4,B,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,5,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,6,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,2,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,3,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,4,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,5,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,6,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,7,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,8,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,7,9,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,8,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,9,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,10,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,11,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,11,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,12,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,13,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,14,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,15,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,16,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,17,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,18,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,19,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,19,A,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,19,B,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,20,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,21,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,21,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,22,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,22,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,23,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,A,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,B,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,C,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,D,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,E,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,F,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,24,G,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,1,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,2,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,3,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,4,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,5,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,25,6,45.15958,9.3147,4
BELGIOIOSO,FRAZIONE LOCALITA` SANTA MARGHERITA,26,,45.15958,9.3147,4
