codice_distretto,nome_distretto,comune_ufficiale,comuni_associabili
DBLG01,ZI BLG,BELGIOIOSO,
DBLG02,SANTA MARGHERITA,BELGIOIOSO,
DBLG03,CENTRO,BELGIOIOSO,
DBRN01,SERBATOI BRONI,BRONI,STRADELLA
DBRN02,ACQUACALDA,BRONI,
DBRN03,ADDUZIONE EURONICS,BRONI,STRADELLA
DBRN04,NORD AUTOSTRADA,BRONI,
DBRN05,CASAL AGNELLO,BRONI,
DCL01,Cilavegna nord - Via Marx,CILAVEGNA,
DCL02,Zona industriale,CILAVEGNA,
DCL03,Via dei Mille - Case Nuove,CILAVEGNA,
DCL04,Cilavegna sud - Corso Roma,CILAVEGNA,
DCPV01,S_APOLLINARE,CERTOSA DI PAVIA,
DCPV02,CERTOSA,CERTOSA DI PAVIA,
DCPV03,SAMPERONE,CERTOSA DI PAVIA,
DCS01,Villanova,CASSOLNOVO,
DCS02,Centro,CASSOLNOVO,
DCS03,Via Trento,CASSOLNOVO,
DCS04,Villareale - Via Porto,CASSOLNOVO,
DCSP01,STADIO,CASORATE PRIMO,
DCSP02,OSPEDALE,CASORATE PRIMO,
DCSP03,TORRE,CASORATE PRIMO,
DCT01,Zona industriale,CASTEGGIO,
DCT05,Cascina Sgarbina,CASTEGGIO,
DCT06,Via San Biagio,CASTEGGIO,
DCT08,zona Centrale,CASTEGGIO,
DCT09,Strada Madonna,CASTEGGIO,
DCT10,Crotesi - Via Fratelli Vigorelli,CASTEGGIO,
DCT12,Adduzione Via Cerreto inferiore,CASTEGGIO,
DCT13,Mairano,CASTEGGIO,
DCVM01,D'ANTONA,CAVA MANARA,
DCVM02,MEZZANA_CORTI,CAVA MANARA,
DCVM03,Via_GALLO,CAVA MANARA,
DGM01,Zona industriale,GAMBOLO',
DGM02,Via Vignate,GAMBOLO',
DGM03,Stradella - Belcreda,GAMBOLO',
DGM05,Gambolò centro,GAMBOLO',
DGM06,Remondò,GAMBOLO',
DGM07,Garbana,GAMBOLO',
DGR01,Via Borgo San Siro,GARLASCO,
DGR02,Santuario Madonna della Bozzola,GARLASCO,
DGR03,Cascina Barbesina,GARLASCO,
DGR04,San Biagio,GARLASCO,
DGR05,Via Vicinale della Realetta,GARLASCO,
DGR06,Stazione ferroviaria nord,GARLASCO,
DGR07,Via Mulino,GARLASCO,
DGR08,Garlasco centro,GARLASCO,
DGSG01,VILLANOVA,GIUSSAGO,
DGSG02,NOVEDO,GIUSSAGO,
DGSG03,TURAGO,GIUSSAGO,
DGSG04,BASELICA,GIUSSAGO,
DGSG05,SCUOLE,GIUSSAGO,
DGSG06,GUINZANO,GIUSSAGO,
DLD01,Fraz. Grassa,LANDRIANO,
DLD02,Zona Industriale,LANDRIANO,
DLD03,Fraz. Pairana,LANDRIANO,
DLD04,Landriano centro,LANDRIANO,
DMD01,Viale Unione Sovietica,MEDE,
DMD02,Fraz. Goido,MEDE,
DMD03,Fraz.Tortorollo,MEDE,
DMD04,Strada Lambertenga,MEDE,
DMD05,Strada Castellaro,MEDE,
DMD06,Parzano,MEDE,
DMD07,Rilancio Goido,MEDE,
DMD08,Mede centro,MEDE,
DMR01,Zona industriale,MORTARA,
DMR03,Madonna del campo - via P. Grocco,MORTARA,
DMR04,via Vecchia Galliate - via Parona Cassolo,MORTARA,
DMR05,Medaglia,MORTARA,
DMR06,Depuratore,MORTARA,
DMR08,Cattanea,MORTARA,
DMR09,Casoni Sant'Albino,MORTARA,
DMR10,Mortara Centro,MORTARA,
DRB01,Zona industriale,ROBBIO,
DRB02,Via Nicorvo - Via Mortara,ROBBIO,
DRB03,Robbio centro,ROBBIO,
DRT00,Adduzione De Amicis,RIVANAZZANO TERME,
DRT02,via San Francesco D'Assisi - Chioda,RIVANAZZANO TERME,
DRT03,viale Cristoforo Colombo,RIVANAZZANO TERME,
DRT04,via J.F. Kennedy - via Tevere,RIVANAZZANO TERME,
DRT05,via Don Lorenzo Perosi Str. Malpasso,RIVANAZZANO TERME,
DRT06,Via Diviani - via Leonardo da Vinci,RIVANAZZANO TERME,
DRT07,Nazzano - Buscofa,RIVANAZZANO TERME,
DRT08,Via de Amicis,RIVANAZZANO TERME,
DRT09,Rivanazzano terme centro,RIVANAZZANO TERME,
DSB01,Buscarella,SANNAZZARO DE' BURGONDI,
DSB02,Sannazzaro centro,SANNAZZARO DE' BURGONDI,
DSB03,Via Pavia,SANNAZZARO DE' BURGONDI,
DSB04,Fraz. Mezzano,SANNAZZARO DE' BURGONDI,
DSB05,Fraz. Cascina Nuova,SANNAZZARO DE' BURGONDI,
DSMS01,TORRE_DEI_CANI,SAN MARTINO SICCOMARIO,
DSMS02,MADONNA,SAN MARTINO SICCOMARIO,
DSMS03,CHIESA,SAN MARTINO SICCOMARIO,
DSTR01,COLOMBETTA,STRADELLA,
DSTR02,SAN ZENO,STRADELLA,
DSTR03,GUARDIA,STRADELLA,
DSTR04,MONTEBRUCIATO,STRADELLA,
DSTR05,ZI STR,STRADELLA,
DSTR06,TACCANA,STRADELLA,
DSTR07,GAVAZZOLA,STRADELLA,
DSTR08,ZENEVREDO,STRADELLA,
DSTR09,MONTALINO,STRADELLA,BRONI
DSTR10,DURINA PIROCCO,STRADELLA,BRONI
DSZ01,Zona industriale nord,SIZIANO,
DSZ02,Zona industriale est,SIZIANO,
DSZ03,Landriano centro,SIZIANO,
DVDG01,MILANO,VIDIGULFO,
DVDG02,LAMALFA,VIDIGULFO,
DVDG03,A_MORO,VIDIGULFO,
DVH01,Zona Industriale,VOGHERA,
DVH04,Oriolo,VOGHERA,
DVH05,Voghera centro,VOGHERA,
DVH06,Fraz. Valle,VOGHERA,
DVH07,Torremenapace,VOGHERA,
