comune,via,civici,civico_da,civico_a,distretto,n_prese,n_discordanti,note
BELGIOIOSO,CASCINA CALDANINO,tutti,,,DBLG02,2,0,
BELGIOIOSO,CASCINA DOSSELLO,tutti,,,DBLG02,1,0,
BELGIOIOSO,CASCINA MONTEALBANO,tutti,,,DBLG02,1,0,
BELGIOIOSO,CASCINA SPARAPINA,tutti,,,DBLG03,59,0,
BELGIOIOSO,FRAZIONE S.GIACOMO,tutti,,,DBLG02,22,0,
BELGIOIOSO,FRAZIONE SANTA MARGHERITA,tutti,,,DBLG02,55,0,
BELGIOIOSO,LARGO PIAZZA,tutti,,,DBLG03,13,0,
BELGIOIOSO,PIAZZA LIBERTA',tutti,,,DBLG03,13,0,
BELGIOIOSO,PIAZZA VITTORIO VENETO,tutti,,,DBLG03,18,0,
BELGIOIOSO,PIAZZALE P.LE SANGUINI,tutti,,,DBLG03,2,0,
BELGIOIOSO,VIA A.CABRAL,tutti,,,DBLG03,27,1,
BELGIOIOSO,VIA A.FANFANI,tutti,,,DBLG03,10,0,
BELGIOIOSO,VIA A.RILOSI,tutti,,,DBLG03,3,0,
BELGIOIOSO,VIA ALBERICO XII,tutti,,,DBLG03,30,0,
BELGIOIOSO,VIA ALCIDE DE GASPERI,tutti,,,DBLG03,30,0,
BELGIOIOSO,VIA ALDO MORO,tutti,,,DBLG03,54,0,
BELGIOIOSO,VIA ANTONIO GRAMSCI,tutti,,,DBLG03,4,0,
BELGIOIOSO,VIA C.F. TRABUCCHI,tutti,,,DBLG03,19,0,
BELGIOIOSO,VIA CANTONE,tutti,,,DBLG03,47,0,
BELGIOIOSO,VIA CESARE PAVESE,tutti,,,DBLG03,2,0,
BELGIOIOSO,VIA CIRO BARBIERI,tutti,,,DBLG03,5,0,
BELGIOIOSO,VIA COLOMBARONE,tutti,,,DBLG03,25,0,
BELGIOIOSO,VIA CRIMINALI,tutti,,,DBLG03,92,0,
BELGIOIOSO,VIA DEI MILLE,tutti,,,DBLG02,14,0,
BELGIOIOSO,VIA DON GIOVANNI MINZONI,tutti,,,DBLG03,1,0,
BELGIOIOSO,VIA DON L. GUANELLA,tutti,,,DBLG03,12,0,
BELGIOIOSO,VIA DON LUIGI STURZO,tutti,,,DBLG03,4,0,
BELGIOIOSO,VIA DON P.GHIA,tutti,,,DBLG03,4,0,
BELGIOIOSO,VIA DOSSO,tutti,,,DBLG02,57,2,
BELGIOIOSO,VIA ENRICO FERMI,tutti,,,DBLG01,9,0,
BELGIOIOSO,VIA F.LLI CAIROLI,tutti,,,DBLG03,87,0,
BELGIOIOSO,VIA F.LLI CERVI,tutti,,,DBLG03,6,0,
BELGIOIOSO,VIA F.LLI ROSSELLI,tutti,,,DBLG03,29,0,
BELGIOIOSO,VIA F.LLI STRAMBIO,tutti,,,DBLG03,163,0,
BELGIOIOSO,VIA F.LLI VIGORELLI,tutti,,,DBLG03,20,0,
BELGIOIOSO,VIA FELICE CAVALLOTTI,dispari,,131,DBLG03,59,0,via divisa tra distretti
BELGIOIOSO,VIA FELICE CAVALLOTTI,dispari,132,,DBLG02,42,0,via divisa tra distretti
BELGIOIOSO,VIA FELICE CAVALLOTTI,pari,,64,DBLG03,35,0,via divisa tra distretti
BELGIOIOSO,VIA FELICE CAVALLOTTI,pari,65,,DBLG02,44,1,via divisa tra distretti
BELGIOIOSO,VIA G.AMENDOLA,tutti,,,DBLG03,41,0,
BELGIOIOSO,VIA G.VERGA,tutti,,,DBLG03,17,0,
BELGIOIOSO,VIA GHINAGLIA,tutti,,,DBLG03,2,0,
BELGIOIOSO,VIA GIACOMO LEOPARDI,tutti,,,DBLG03,43,0,
BELGIOIOSO,VIA GIACOMO MATTEOTTI,tutti,,,DBLG03,8,0,
BELGIOIOSO,VIA GIACOMO PUCCINI,tutti,,,DBLG03,67,0,
BELGIOIOSO,VIA GIORDANO BRUNO,tutti,,,DBLG03,2,0,
BELGIOIOSO,VIA GIOVANNI FALCONE,tutti,,,DBLG03,17,1,
BELGIOIOSO,VIA GIOVANNI PASCOLI,tutti,,,DBLG03,39,0,
BELGIOIOSO,VIA GIULIO NATTA,tutti,,,DBLG01,17,0,
BELGIOIOSO,VIA GIUSEPPE GARIBALDI,tutti,,,DBLG03,101,1,
BELGIOIOSO,VIA GIUSEPPE MAZZINI,tutti,,,DBLG03,70,0,
BELGIOIOSO,VIA GIUSEPPE PARINI,tutti,,,DBLG03,16,0,
BELGIOIOSO,VIA GIUSEPPE VERDI,tutti,,,DBLG03,23,0,
BELGIOIOSO,VIA GUGLIELMO MARCONI,tutti,,,DBLG03,10,0,
BELGIOIOSO,VIA I MAGGIO,tutti,,,DBLG03,40,0,
BELGIOIOSO,VIA IV NOVEMBRE,tutti,,,DBLG03,18,0,
BELGIOIOSO,VIA JEAN MONNET,tutti,,,DBLG03,3,0,
BELGIOIOSO,VIA LINA MERLIN,tutti,,,DBLG03,10,0,
BELGIOIOSO,VIA MADDALENA DI CANOSSA,tutti,,,DBLG03,33,0,
BELGIOIOSO,VIA MADRE T. DI CALCUTTA,tutti,,,DBLG03,15,0,
BELGIOIOSO,VIA MARZABOTTO,tutti,,,DBLG03,12,0,
BELGIOIOSO,VIA MATTEI,tutti,,,DBLG03,8,0,
BELGIOIOSO,VIA MOLINO,tutti,,,DBLG02,61,2,
